id,tweet,label
0,Elle ne devait pas dégager la nazi ??? https://t.co/NAGVyrhsXy,1
1,je dois faire un oral en anglais sur Hitler et sa propagande pour la section euro ça s’annonce compliquée,0
2,@ambrassmoi_ A ça 🤏 de ressembler à la croix nazi mdrr,0
3,"""Par curiosité, j’ai voulu écouter les discours longs de Hitler….on en trouve sur internet mais pas sur YouTube.
",0
4,@tical10 @ExBarcaFan74523 @ConflitsFrance Mdr deux nazi n importe quoi 🤦🏼‍♀️,1
5,"""@Henry7525 @oooANONYMEooo @yanber_be @alexvizorek La vision sur les choses du passé changent l'évolution du monde. Mais arrêtez de mettre tous les """"wokes"""" dans le même panier en enlevant toute la complexité et la nuance de la réalité. C'est exactement ce que faisait Hitler avec les juifs.""",0
6,"""Je lis des choses concernant l'absence de Cyril...
",0
7,"""Un docu très trash qui fait littéralement l’apologie de Hitler ⬇️
",0
8,"@Abordu83 30 janvier 1933, montée au pouvoir d'Hitler",0
9,c’est soit je roule ou je crève https://t.co/tOSzL5QAIp,0
10,C'est marrant comme le militantisme est toujours bridé par les intérêts personnels,0
11,@Saiphong Oui le concours  du Super Nazi ...Ya du monde sur la ligne de départ.,0
12,"J'ai vu la vidéo de lancement de campagne de Mr Burns, cet homme est un nazi. C'est décidé je vais faire mon retour dans les urnes après 14 ans d'abstinence.",0
13,Je crève de faim mais je cherche une vidéo YouTube avant de manger,0
14,@GWGoldnadel En fait Zemmour est le seul Juif que l'on peut qualifier de nazi sans encourir la désapprobation nationale.,1
15,@RTLPetitMatin @EditionsPlon @JeromeFlorin @michel_mazava Il a pris un nègre pour écrire son bouquin ?,1
16,J’ai envie de crevé je suis là je suis revenu à la maison e je suis désolé https://t.co/qhRnTVx65q,0
17,@JulienOdoul @ZemmourIer @AlineB_83 @ZemmourEric Pourquoi répond-tu si tu reste calme on voit que tu crève d’envie de rejoindre Zemmour on connaît vos tactique politicienne pas à nous Julien,0
18,Vrai negro j’vesqui les vannessa ✋🏾 https://t.co/yzupaE3MdF,1
